sno,edu,infra,agri,hea,eco
0,0.034420149155338385,0.030514820724975873,0.03290766767391974,0.0,0.0782366949980964
1,0.10991062052679464,0.0,0.0,0.0,0.16164216768136816
2,0.08509657295294809,0.0,0.0,0.0,0.0
3,0.2094754813803481,0.0,0.0,0.0,0.0
4,0.15049541404464162,0.0,0.0,0.0,0.0
5,0.1431547785556371,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0
8,0.08428098659260322,0.0,0.0,0.0,0.11527251973100736
9,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.12000233833542069,0.0,0.0
12,0.0,0.0,0.0,0.0,0.09106417355485522
13,0.0,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.23525611103578287,0.0
15,0.0,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.1624500444587055,0.0
17,0.11258988055733847,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.13182508155913333,0.0
19,0.0,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,0.0
21,0.0,0.14913304872787986,0.0,0.12526896841630134,0.0
22,0.0,0.16732559428867697,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,0.0
25,0.0,0.0,0.0,0.0,0.0
26,0.0,0.0,0.0,0.147975124046191,0.0
27,0.0,0.1229880064300012,0.0,0.0,0.0
28,0.0,0.0,0.0,0.13806623983576558,0.0
29,0.0,0.0,0.0,0.1422806497569899,0.0
30,0.0,0.0,0.0,0.0,0.0
31,0.0,0.0,0.0,0.0,0.0
32,0.0,0.0,0.0,0.0,0.0
33,0.0,0.0,0.0,0.0,0.0
34,0.0,0.0,0.0,0.0,0.0
35,0.0,0.0,0.0,0.0,0.0
36,0.0,0.0,0.0,0.0,0.0
37,0.0,0.0,0.0,0.0,0.0
38,0.0,0.0,0.0,0.0,0.0
39,0.0,0.0,0.0,0.0,0.0
40,0.0,0.0,0.0,0.0,0.0
41,0.17862268058816966,0.0,0.0,0.0,0.0
42,0.0,0.0,0.0,0.0,0.0
43,0.0,0.0,0.0,0.0,0.15912191628698746
44,0.0,0.0,0.0,0.0,0.0
45,0.0,0.0,0.0,0.0,0.0
46,0.0,0.0,0.0,0.0,0.0
47,0.0,0.0,0.0,0.0,0.0
48,0.0,0.0,0.0,0.0,0.0
49,0.0,0.0,0.0,0.0,0.0
50,0.0,0.0,0.0,0.0,0.10903034347445902
51,0.0,0.0,0.0,0.0,0.0
52,0.0,0.0,0.0,0.0,0.0
53,0.0,0.0,0.0,0.0,0.0
54,0.1371225919180291,0.17968628534809633,0.0,0.0,0.0
55,0.0,0.0,0.0,0.0,0.0
56,0.0,0.0,0.0,0.0,0.0
57,0.0,0.0,0.0,0.0,0.0
58,0.0,0.0,0.0,0.0,0.0734668508533026
59,0.0,0.0,0.0,0.0,0.0
60,0.0,0.0,0.0,0.0,0.0
61,0.0,0.0,0.0,0.0,0.0
62,0.0,0.0,0.0,0.0,0.0
63,0.0,0.0,0.0,0.0,0.0
64,0.0,0.0,0.0,0.13911639579328317,0.0
65,0.0,0.0,0.0,0.0,0.09297046445053281
66,0.0,0.0,0.0,0.0,0.0
67,0.0,0.0,0.0,0.0,0.0
68,0.0,0.0,0.0,0.0,0.0
69,0.0,0.0,0.0,0.0,0.0
70,0.0,0.0,0.0,0.0,0.0
71,0.0,0.0,0.0,0.0,0.0
72,0.0,0.0,0.0,0.0,0.0
73,0.0,0.0,0.0,0.0,0.0
74,0.0,0.0,0.0,0.0,0.0
75,0.0,0.0,0.0,0.0,0.0
76,0.0,0.0,0.0,0.0,0.0
77,0.0,0.0,0.0,0.0,0.0
78,0.0,0.0,0.0,0.0,0.0
79,0.0,0.0,0.0,0.0,0.0
80,0.0,0.0,0.0,0.0,0.0
81,0.0,0.0,0.0,0.0,0.0
82,0.0,0.0,0.0,0.0,0.0
83,0.0,0.0,0.0,0.0,0.0
84,0.0,0.0,0.0,0.0,0.0
85,0.0,0.0,0.0,0.0,0.0
86,0.0,0.0,0.0,0.0,0.0
87,0.0,0.0,0.0,0.0,0.0
88,0.0,0.0,0.0,0.0,0.0
89,0.0,0.0,0.0,0.0,0.0
90,0.0,0.0,0.0,0.0,0.0
91,0.0,0.0,0.0,0.0,0.0
92,0.0,0.0,0.0,0.0,0.0
93,0.0,0.0,0.0,0.0,0.0
94,0.0,0.0,0.0,0.0,0.0
95,0.0,0.0,0.0,0.0,0.0
96,0.0,0.0,0.0,0.0,0.14689003462739586
97,0.0,0.0,0.0,0.0,0.0
98,0.0,0.0,0.0,0.0,0.0
99,0.0,0.0,0.0,0.0,0.11924986470027281
100,0.0,0.0,0.0,0.0,0.13372867065345306
101,0.0,0.0,0.0,0.0,0.0
102,0.0,0.0,0.0,0.0,0.13143607789149403
103,0.0,0.0,0.0,0.0,0.0
104,0.0,0.0,0.0,0.0,0.14233662861542465
105,0.0,0.0,0.0,0.0,0.12360542383566218
106,0.0,0.0,0.0,0.0,0.23043636201168927
107,0.0,0.0,0.0,0.0,0.16499612023691185
108,0.0,0.0,0.0,0.0,0.1555699245999253
109,0.0,0.0,0.0,0.0,0.0
110,0.0,0.0,0.0,0.0,0.0
111,0.0,0.0,0.0,0.0,0.0
112,0.0,0.0,0.0,0.0,0.0
113,0.0,0.0,0.0,0.0,0.0
114,0.0,0.0,0.0,0.0,0.0
115,0.0,0.0,0.0,0.0,0.0
